"name","continent","local_price_11","dollar_ex_11","GDP_dollar_11","local_price_21","dollar_ex_21","GDP_dollar_21"
"Argentina","Americas",20,4.1325,9138.177,320,85.3736,9890.314
"Austria","Europe",3.09,0.697520315,44986.583,3.88,0.823011398707872,50380.282
"Belgium","Europe",3.75,0.697520315,42630.113,4.35,0.823011398707872,46236.67
"Brazil","Americas",9.5,1.5416,10816.487,21.9,5.5046,8751.381
"Britain","Europe",2.39,0.614137444,36119.846,6.77,1.2803,46271.717
"Canada","Americas",4.73,0.94585,46214.914,2940,719.425,14772.111
"Chile","Americas",1850,462.75,11827.958,22.4,6.4751,10286.58
"China","Asia",14.65,6.445,4382.136,12950,3460.5,6423.179
"Colombia","Americas",8400,1770.5,6273.372,2350,613.77,12243.842
"Costa Rica","Americas",2050,504.305,NA,89,21.5909,23538.518
"Czech Republic","Europe",69.32,17.0219,18288.284,4.46,0.823011398707872,46472.623
"Denmark","Europe",28.5,5.19845,56147.143,30,6.12065,59770.324
"Estonia","Europe",2.2,0.697520315,14835.96,4.33,0.823011398707872,29993.061
"Finland","Europe",3.75,0.697520315,44488.643,3.2,0.823011398707872,23757.617
"France","Europe",3.5,0.697520315,41018.597,4.87,0.823011398707872,48809.551
"Germany","Europe",3.4,0.697520315,40631.243,4.2,0.823011398707872,41896.577
"Greece","Europe",3.26,0.697520315,27301.544,3.29,0.741372280090447,42378.606
"Hong Kong","Asia",15.1,7.7918,31590.681,3.3,0.823011398707872,19569.531
"Hungary","Europe",760,188.0724,12879.296,20.5,7.75535,48626.576
"India","Asia",84,44.4,1264.839,900,297.42395,16469.607
"Indonesia","Asia",22534,8523,3015.374,34000,14125,4196.67
"Ireland","Europe",3.8,0.697520315,45688.759,190,73.39,2097.782
"Israel","Asia",15.9,3.40335,28685.616,4.4,0.823011398707872,80504.404
"Italy","Europe",3.5,0.697520315,34058.72,17,3.179,43603.013
"Japan","Asia",320,78.365,42820.392,4.3,0.823011398707872,33159.068
"Malaysia","Asia",7.2,2.973,8423.176,390,104.295,40255.936
"Mexico","Americas",32,11.67075,9565.962,4500,1097.35,31846.217
"Netherlands","Europe",3.25,0.697520315,47172.14,700,189,3852.484
"Norway","Europe",45,5.41405,84443.634,54,20.11475,9862.44
"Pakistan","Asia",205.13,86.345,1049.749,9.99,4.052,11193.016
"Peru","Americas",10,2.7375,5171.651,4.13,0.823011398707872,52646.193
"Philippines","Asia",118,42.41,2007.362,52,8.5439,75294.428
"Poland","Europe",8.63,2.7968,12300.126,550,160.35,1348.676
"Portugal","Europe",2.9,0.697520315,21558.78,11.9,3.6207,6957.864
"Russia","Europe",75,27.7525,10437.49,142,48.0925,3511.935
"Saudi Arabia","Asia",10,3.7502,16995.78,13.08,3.7226,15600.657
"Singapore","Asia",4.41,1.20705,43116.689,3.45,0.823011398707872,23132.455
"South Korea","Asia",3700,1056.2,20590.962,14,3.7518,23266.486
"Spain","Europe",3.5,0.697520315,30639.295,5.9,1.3308,65233.88
"Sri Lanka","Asia",280,109.475,NA,52.88,8.29525,51404.434
"Sweden","Europe",48.4,6.3352,48874.608,128,30.13,7806.961
"Taiwan","Asia",75,28.834,18457.752,14.99,7.4705,9150.862
"Thailand","Asia",70,29.75,4991.525,72,27.98,25873.367
"Turkey","Asia",6.5,1.72285,10398.685,62,28.14,3706.765
"Ukraine","Europe",16.5,7.994,NA,204,42.495,16110.742
"United States","Americas",4.065,1,47283.633,5.66,1,65253.518
"Uruguay","Americas",90,18.45,NA,33.5,15.5225,5977.954
