"wfood","totexp","age","size","town","sex"
0.434056761268781,495972,69,3,1,"man"
0.228154942929953,1724635,47,4,1,"man"
0.321738336528805,854334,44,5,4,"man"
0.37749738835205,245056,64,1,3,"woman"
0.27902988509897,443164,53,3,4,"man"
0.153912924790317,652057,77,1,3,"woman"
0.405287060994807,221068,75,1,1,"woman"
0.765501300202254,207660,73,2,3,"man"
0.349741295171493,564543,50,4,3,"man"
0.319309748888337,1078564,39,5,4,"man"
0.182794186291875,1251112,52,6,2,"man"
0.201274386059314,1903034,28,3,4,"man"
0.243412008045914,1124546,39,4,4,"man"
0.499265586513909,1150578,60,4,2,"man"
0.422987255488479,551610,44,6,2,"man"
0.382236099116455,301060,61,2,4,"man"
0.395622418029721,1417038,63,3,4,"man"
0.183632184447233,682168,51,3,4,"man"
0.446743766843355,448248,25,4,4,"man"
0.125897082827988,1315932,24,2,3,"man"
0.719787045252884,135240,82,2,1,"man"
0.116129796463876,1789756,60,2,2,"man"
0.344217844835183,1078015,43,5,3,"man"
0.0570781440099362,5513564,31,4,4,"man"
0.157400930797005,3160947,44,7,5,"man"
0.400731739303425,899774,39,6,4,"man"
0.366431332595759,753822,28,4,2,"man"
0.435223975630757,1105656,36,5,1,"man"
0.474778944335392,1055051,49,4,1,"man"
0.233387741337742,575283,61,2,1,"woman"
0.451575730477951,433894,38,4,4,"man"
0.270602819066556,957551,22,7,5,"woman"
0.0822802324508809,3664258,42,2,4,"woman"
0.642979933011484,473514,88,3,4,"man"
0.474149608925618,293806,59,2,2,"man"
0.42673790324797,363858,70,2,2,"man"
0.364849705273464,1043849,34,4,5,"man"
0.511684062617181,485362,57,4,2,"man"
0.174285040590157,712488,54,4,4,"man"
0.611176025843701,174588,25,4,2,"man"
0.646599931922225,431859,47,3,2,"woman"
0.580073044146857,312140,60,3,3,"man"
0.478835807816349,278442,48,4,2,"man"
0.703583290247386,684678,33,6,4,"man"
0.463637327865085,905104,46,5,3,"man"
0.144818721563667,1568416,29,4,4,"man"
0.475256902022068,1013616,61,3,3,"man"
0.238009482642708,907342,37,2,5,"man"
0.470788382663496,1351945,41,6,4,"man"
0.573390740728417,300542,62,3,2,"man"
0.392426314625697,244214,57,3,1,"man"
0.34582293113834,574398,51,4,1,"man"
0.248173101722601,884012,63,6,1,"man"
