"Q","E","Grup"
5,7.8,"BLM"
3.1,7,"BLM"
6.2,7,"BLM"
5,6,"BLM"
2.5,7.3,"BLM"
1.9,2,"BLM"
4,2.8,"BLM"
2.2,8.3,"BLM"
3.5,2.5,"BLM"
-1,4.5,"BLM"
6.5,5.3,"BLM"
2.5,7.3,"BLM"
6.2,7,"BLM"
7,7.8,"BLM"
2.2,8.3,"BLM"
0.2,3.7,"BLM"
1.9,3.7,"BLM"
2.5,4.3,"BLM"
5,6,"BLM"
1.5,3.2,"BLM"
2.8,5.3,"BLM"
1.9,2,"BLM"
2.8,5,"BLM"
1.2,3.8,"BLM"
5.8,5.7,"BLM"
5,6,"BLM"
3,5.7,"BLM"
2.2,3,"BLM"
-1,4.5,"BLM"
2.5,7.3,"BLM"
1.9,4.3,"BLM"
-1.8,4.7,"BLM"
6.2,7,"BLM"
3.5,6.8,"BLM"
2.5,4.3,"BLM"
1.9,4.3,"BLM"
5,6,"BLM"
5,7.8,"BLM"
0,4.2,"BLM"
1.9,2,"BLM"
5,5.4,"BQ"
-3.8,5.7,"BQ"
3.3,7.3,"BQ"
1,5.5,"BQ"
-1.2,7.8,"BQ"
-3.8,5.7,"BQ"
4.2,3.7,"BQ"
-0.2,5.8,"BQ"
6.3,7.3,"BQ"
-1.2,7,"BQ"
3.1,6.3,"BQ"
6.7,8,"BQ"
3.3,7.3,"BQ"
-2.9,7,"BQ"
1.3,1.6,"BQ"
-1.2,7.8,"BQ"
0.6,7.8,"BQ"
6.7,9,"BQ"
2.5,8,"BQ"
0.6,5.5,"BQ"
-2.5,5.5,"BQ"
-0.4,5.8,"BQ"
4.6,7.3,"BQ"
2.5,8.7,"BQ"
3.1,9.3,"BQ"
2.9,7.8,"BQ"
-3.3,5,"BQ"
0.9,4.4,"BQ"
2.1,8.7,"BQ"
2.5,8.7,"BQ"
2.9,7.8,"BQ"
-0.6,7.8,"BQ"
6.3,7.3,"BQ"
-2.5,5,"BQ"
6.7,9,"BQ"
6.3,7.3,"BQ"
4.2,3.7,"BQ"
-2.1,5.8,"BQ"
-2.5,5.5,"BQ"
3.8,7.2,"BQ"
